support vector machine	Support-vector machine
oberhausen gasometer	Gasometer Oberhausen
antigrowth hormone	Growth hormone
door chime	Doorbell
worked flint	Stone tool
experimental three-phase railcar	Experimental three-phase railcar
zemiakové placky	Potato pancake
snow line	Snow line
janissary stop	Piano pedals
post-network era	Post-network era
enriched cages	Furnished cage
heraldic symbol	Heraldry
interwar era	Interwar period
fischer tropsch	Fischer–Tropsch process
freshwater life	Freshwater ecosystem
oregon pine	Douglas fir
einstein relation	Einstein relation
instruction selection	Instruction selection
chemical specificity	Chemical specificity
saw-setting pliers	Saw set
railway electric traction	Railway electric traction
aryl radical	Aryl radical
mitsubishi 3000gt	Mitsubishi GTO
building performance	Building performance
ship camouflage	Ship camouflage
buoyancy frequency	Brunt–Väisälä frequency
protective wear	Personal protective equipment
byzantine units of measurement	Byzantine units of measurement
transformation playing card	Transformation playing card
gaza pullout	Israeli disengagement from Gaza
gravitation field	Gravitational field
litz cable	Litz wire
usability engineering	Usability engineering
type 22 class frigate	Type 22 frigate
reference book	Reference work
high-speed quad chairlift	Detachable chairlift
strong secret	Strong secrecy
sailing hydrofoil	Sailing hydrofoil
extension flex	Extension cord
earth's substrata	Structure of Earth
discrimination against albinos	Persecution of people with albinism
governance of information technology	Corporate governance of information technology
helper application	Helper application
railway brake	Railway brake
quality attributes	Non-functional requirement
reduced conflict intersections	Superstreet
uterine cornu	Uterine horns
hand grenades	Grenade
lodging management	Hotel manager
hawker 700	Hawker 800
dietary sucrose	Sucrose
recombination detection program	Recombination detection program
flatulence incontinence	Fecal incontinence
constructal theory	Adrian Bejan
hijri era	Hijri year
list of humorous units of measurement	List of humorous units of measurement
comparison of social networking software	Comparison of social networking software
stephenson link valve gear	Stephenson valve gear
teleworking individuals	Telecommuting
letter drill sizes	Drill bit sizes
history of novels	Novel
marcatili's method	Marcatili's method
stealth edit	Stealth edit
spill metric	Spill metric
hyundai 1-30	Hyundai i30
placenta cord banking	Cord blood bank
structural integrity and failure	Structural integrity and failure
strategic weapon	Weapon of mass destruction
siege engineer	Siege engine
la divina commedia	Divine Comedy
black top	Asphalt concrete
screened fully-shielded twisted pair	Twisted pair
phase distinction	Phase distinction
smoke constituents	List of cigarette smoke carcinogens
stuffy air	Indoor air quality
arp galaxy	Atlas of Peculiar Galaxies
cooking with alcohol	Cooking with alcohol
list of splices	Rope splicing
fanconi anemia complementation group g protein	Fanconi anemia
salween river	Salween River
shooting schedule	Shooting schedule
pressure imaging	Pedobarography
keyword search	Search engine technology
autonomous system boundary router	Open Shortest Path First
chlorosulphonic acid	Chlorosulfuric acid
row hammering	Row hammer
spiral stairs	Stairs
travelling-wave tube	Traveling-wave tube
hydraulic ohm	Acoustic ohm
water taxi	Water taxi
dna restriction enzymes	Restriction enzyme
expo markers	Marker pen
electronic mule	EMule
marketing slogan	Advertising slogan
bubble canopy	Bubble canopy
szekely script	Old Hungarian script
k-chromatic graph	Graph coloring
left gastric vein	Left gastric vein
least-squares spectral analysis	Least-squares spectral analysis
herman ring	Herman ring
cabin air filter	Air filter
detonation velocity	Detonation velocity
photon bubble	Photon bubble
mars 500 experiment	MARS-500
farday effect	Faraday effect
keripik pisang	Banana chip
dark night sky paradox	Olbers' paradox
device-independent bitmap	BMP file format
salzburg-pattern playing cards	German-suited playing cards
games for good	Games for Good
protein tetramers	Tetrameric protein
media strategy	Media strategy
forward planning	Radiation treatment planning
apollo a7l	Apollo/Skylab space suit
engineering organizations	List of engineering societies
thoughts and prayers	Thoughts and prayers
earth-filled dam	Embankment dam
silent running	Silent Running
wrist wrapping glove	Hand wrap
baryon asymmetry	Baryon asymmetry
maggi instant noodles	Maggi
list of pharmaceutical companies	List of pharmaceutical companies
massively open online courses	Massive open online course
blue flower	Blue flower
photonic logic	Optical computing
optical attenuator	Optical attenuator
memory pathologies	Neuroanatomy of memory
integral field spectrograph	Integral field spectrograph
electrochemical fluorination	Electrochemical fluorination
knee arthroplasty	Knee replacement
dynamic execution	Out-of-order execution
accelerated fractionation	Dose fractionation
luxembourg livre	Luxembourg livre
carbon-nitrogen cycle	CNO cycle
book folding	Book folding
reconstructive plastic surgery	Plastic surgery
persistently online	Persistent world
gastroenteric reflex	Gastrocolic reflex
iodine isotope	Isotopes of iodine
marchande de modes	Marchande de modes
negative public relations	Public relations
mercury-vapor lighting	Mercury-vapor lamp
haskell organ pipe construction	Haskell organ pipe construction
crème caramel	Crème caramel
drawer pull	Drawer pull
xiu shui market	Silk Street
coddington magnifier	Coddington magnifier
piano trio	Piano trio
algebraic submanifold	Algebraic manifold
list of tallest hospitals	List of tallest hospitals
double martini	Cocktail glass
male menopause	Late-onset hypogonadism
branch dock	Branch dock
lagrangian coherent structure	Lagrangian coherent structure
fin and flipper locomotion	Fin and flipper locomotion
list of busiest metro systems	List of metro systems
arachide oil	Peanut oil
charles limbert	Charles Limbert
garside classification	Garside classification
four-lane undivided freeway	Two-lane expressway
rapp class torpedo boat	Rapp-class patrol boat
function optimization	Mathematical optimization
cylindrical symmetry	Circular symmetry
primary cerebral lymphoma	Primary central nervous system lymphoma
xenon 129	Isotopes of xenon
planetary homeostasis	Gaia hypothesis
visual control	Visual control
mutual fund shares	Mutual fund
dew warning	Dew warning
regularity management	Production assurance
sodium phosphite	Disodium hydrogen phosphite
fusion centre	Fusion center
old calendarism	Old Calendarists
stream cipher	Stream cipher
one-electron universe	One-electron universe
basketball analyst	Sports analyst
isotope signature	Isotopic signature
scotch tape	Scotch Tape
multilateral priority right	Priority right
bobbsey twins	Bobbsey Twins
city hall	Town hall
yen symbol	Yen and yuan sign
molecular oncology	Molecular oncology
solvers for polynomial systems	System of polynomial equations
stericated tesseractic honeycomb	Tesseractic honeycomb
fantasy tropes	Fantasy tropes
big hoose	HM Prison Barlinnie
topic outline of design	Outline of design
geneva mechanism	Geneva drive
woodward's rules	Woodward's rules
photochromic complex	Photochromism
graphic adapter	Video card
beartooth pass	Beartooth Highway
non biodegradable	Biodegradation
comparison of one-click hosting services	Comparison of file hosting services
cork stopper	Stopper (plug)
microblogging novel	Microblogging novel
action at mount zion church	Action at Mount Zion Church
ski gondola	Gondola lift
super 35 mm	Super 35
net server	Server (computing)
dual polarisation interferometry	Dual-polarization interferometry
reactor core isolation cooling system	Boiling water reactor safety systems
constant propagation	Constant folding
outer core	Earth's outer core
em engine	EmDrive
real interest rate	Real interest rate
zelyonka attack	Zelyonka attack
electric mandolin	Electric mandolin
motorised pulley	Drum motor
preservation and restoration of automobiles	Preservation and restoration of automobiles
minimum spanning tree-based segmentation	Minimum spanning tree-based segmentation
electrostatic potential energy	Electric potential energy
mascarene forests	Mascarene Islands
multiple phone webbased application framework	Mobile development framework
platter lifts	Surface lift
anti-fouling agent	Fouling
child internet addiction	Internet addiction disorder
3d hologram pyramid	Pepper's ghost
hidden variables	Hidden variable
human hair color	Human hair color
live bookmarking	Features of Firefox
misoscale meteorology	Misoscale meteorology
authority revocation list	Certificate revocation list
currency symbols	Currency symbol
cauliflower cheese	Cauliflower cheese
tight binding model	Tight binding
sequence of events	Time
type erasure	Type erasure
guyu table	Guyu
hlavní nádraží	Central station
arago spot	Arago spot
set decorator	Set decorator
distance based user fee	Vehicle miles traveled tax
mesozoic extinction	Cretaceous–Paleogene extinction event
dangerous weapon	Deadly weapon
liouville theory	Liouville field theory
list of manufacturing topics	Outline of manufacturing
groupe intégré de la sécurité	Integrated Security Unit
pickle sauce	Tartar sauce
third man argument	Third man argument
quantum critical point	Quantum critical point
saxhorn alto	Tenor horn
b5136 road	B roads in Zone 5 of the Great Britain numbering scheme
sandoz spill	Sandoz chemical spill
weight stack	Weight plate
george varghese	George Varghese
polonium halos	Pleochroic halo
working families	Hardworking families
lexical definition	Lexical definition
single bond	Single bond
suicide front axle	Transverse leaf spring front suspension
article discovery	Content discovery platform
terrorist sleeper cell	Clandestine cell system
marine core	Core sample
basket trial	Clinical study design
muenchian grouping	XSLT/Muenchian grouping
accidental point	Vanishing point
nokia 6710	Nokia 6710 Navigator
kinetic diameter	Kinetic diameter
izvoru oil field	Izvoru oil field
younger drias	Younger Dryas
sodium fluoride	Sodium fluoride
japanese war tuba	Acoustic location
inverse trig functions	Inverse trigonometric functions
interlocking machine room	Interlocking machine room
heterotic string	Heterotic string theory
methylmethionine sulfonium chloride	S-Methylmethionine
shock website	Shock site
healthcare treatment	Therapy
signal element	Signal element
biscocho de sebo	Biscocho
list of indoor roller coasters	Indoor roller coaster
chest drainage management	Chest drainage management
champernowne constant	Champernowne constant
magic tape	Scotch Tape
case-fatality ratio	Case fatality rate
cyber 180	CDC Cyber
drag force	Drag (physics)
computer booking system	Computer booking system
spirits of sky	Sky deity
liquid water content	Liquid water content
tandem solar cell	Multi-junction solar cell
wear and tear theory of aging	Senescence
dioptric lens	Dioptrics
mulberry paper	Washi
time-variant system	Time-variant system
chemical ecology	Chemical ecology
internet cutoff	Internet
comparison of mid-heavy lift launch systems	Comparison of orbital launch systems
false fame	Source-monitoring error
motion aftereffect	Motion aftereffect
handmade designer jewelry	Handmade jewelry
banpo pottery symbols	Neolithic signs in China
nonfree software	Proprietary software
paddle tire	Paddle tire
ripple sort	Cocktail shaker sort
internet advertising network	DoubleClick
marker interface	Marker interface pattern
functional analysis	Functional analysis
uridine 5'-diphospho-glucuronic acid	Uridine diphosphate glucuronic acid
working point	Viscous liquid
openly lesbian	Coming out
parathyroid hormone family	Parathyroid hormone family
utonality and otonality	Otonality and Utonality
static balloon	Tethered balloon
maritime radionavigation service	Maritime radionavigation service
charlie sheen	Charlie Sheen
medicine ball	Medicine ball
hydrogen sulphate	Sulfate
synaptic signal	Chemical synapse
timeline of luminiferous aether	Timeline of luminiferous aether
pharyngeal plexus of uvula	Pharyngeal plexus of vagus nerve
nieuwkoop center	Regional differentiation
institut national de la statistique et des études économiques	Institut national de la statistique et des études économiques
crocodile tears	Crocodile tears
torta cenceña	Torta de gazpacho
antimatter fuel	Antimatter
anaglyph image	Anaglyph 3D
list of tractors built by other companies	List of tractors built by other companies
poured concrete	Concrete
high frequency radio alternator	Alexanderson alternator
putty explosive	Plastic explosive
policy-based routing	Policy-based routing
probabilistic complexity	Randomized algorithm
intersective adjective	Intersective modifier
mini diskette	Floppy disk
decision workshop	Confrontation analysis
lotus automobile	Lotus Cars
color schemes	Color scheme
diastolic blood pressure	Blood pressure
pommerman challenge	Pommerman Challenge
list of music sequencers	List of music sequencers
schrödinger representation	Oscillator representation
receptor tyrosine phosphatase	Receptor tyrosine phosphatase
soft paraffin	Petroleum jelly
multiple stars in fiction	Binary stars in fiction
anno mundi	Anno Mundi
french paté	Foie gras
multiplex polymerase chain reaction	Multiplex polymerase chain reaction
earth orbital corporation	Orbital Corporation
chè bánh lọt	Chè
constrained conditional model	Constrained conditional model
array programming languages	Array programming
secret sharing	Secret sharing
rainbow-class submarine	Rainbow-class submarine
sturmgewehr 54	Sturmgewehr 52
2017 global ransomware attack	WannaCry ransomware attack
sequence container	Standard Template Library
square of opposites	Square of opposition
wiener's attack	Wiener's attack
post-synaptic receptor-channels	Chemical synapse
food in media and social trends	Lifestyle trends and media
rubus foliolosus	Rubus niveus
solder-mask lacquer	Solder mask
outlook 2000	Microsoft Outlook
blomberg bogie	Blomberg B
ducati 98	Ducati 98
arethusa-class cruiser	Arethusa-class cruiser
siparuna vasqueziana	Siparuna vasqueziana
smart grid	Smart grid
victoria sandwiches	Sponge cake
ersatz quotes	Air quotes
edge-class cruise ship	Edge-class cruise ship
paris exception	Veganism
annular lift fan aircraft	Annular lift fan aircraft
lacerated posters	Décollage
thurston's conjecture	Geometrization conjecture
global positional satellites	Global Positioning System
silk road	Silk Road
carbonyl dichloride	Phosgene
nun hafukhah	Inverted nun
intercondyloid fossa of femur	Intercondylar fossa of femur
docking port	Dock connector
queue with priorities	Priority queue
full configuration interaction	Full configuration interaction
concrete slump test	Concrete slump test
pain fibers	Nociceptor
oboe d'amore	Oboe d'amore
variable data printing	Variable data printing
hermann grid illusion	Grid illusion
long-range missile	Missile
bronshtein integrability	Bronshtein and Semendyayev
teletext systems	Teletext systems
brute-force attack	Brute-force attack
sensor network queries processor	Sensor network query processor
fairwater plane	Diving plane
thermoelectric figure of merit	Thermoelectric materials
c60 fullerene	Buckminsterfullerene
half-life period	Half-life
delayed-action fuze	Delay-action bomb
jars cana	Marriage at Cana
time paradoxes	Temporal paradox
korzybski's fallacy	Map–territory relation
control networks	Geodetic control network
sexual network	Sexual network
retrotransposon marker	Retrotransposon marker
redis database format	Redis
first growth forest	Old-growth forest
routing information protocol	Routing Information Protocol
aircraft flight mechanics	Aircraft flight mechanics
transient liquid phase diffusion bonding	Transient liquid phase diffusion bonding
hook-and-eye closure	Hook-and-eye closure
sabatinca perveta	Sabatinca perveta
ride hailing	Ridesharing company
alfasone acetofenide	Algestone acetophenide
weather testing of polymers	Weather testing of polymers
boiling frog syndrome	Boiling frog
death chemistry	Post-mortem chemistry
radical side-cut ski	Ski
elongated triangular antiprismatic cellulation	Tetrahedral-octahedral honeycomb
corbino disk	Hall effect
plug-in vehicle	Plug-in electric vehicle
bacterial two hybrid analysis	Two-hybrid screening
lévy flight	Lévy flight
genomic counseling	Genomic counseling
brevivulva electroma	Brevivulva
uranium tritide	Uranium hydride
u with horn	Ư
intrusion alarm	Security alarm
laser skin resurfacing	Photorejuvenation
gaultheria oppositifolia	Gaultheria oppositifolia
source tracking	Source tracking
affiliate program	Affiliate marketing
us space policy	Space policy of the United States
salvage drum	Salvage drum
archaeographic expeditions	Archaeographic Commission
arithmetic/logic instruction	Instruction set architecture
consorzio interuniversitario lombardo per l'elaborazione automatica	Consorzio Interuniversitario Lombardo per l'Elaborazione Automatica
steam whirl	Steam devil
apple ipod	IPod
fire lane	Fire lane
substitution cipher	Substitution cipher
sequence analysis	Sequence analysis
abdominal cerclage	Cervical cerclage
beaver house	Beaver dam
rose galaxy	Arp 273
ethics in medicine	Medical ethics
no mobile phone phobia	Nomophobia
tinnitus masker	Tinnitus masker
left gastro-omental veins	Left gastroepiploic vein
sales force management system	Sales force management system
noise dosimeter	Noise dosimeter
pulsed ultraviolet light	Ultraviolet
fictional encyclopaedism	Fictional encyclopaedism
information-bearer channel	Information-bearer channel
solid injection	Diesel engine
cysteine metabolism	Cysteine metabolism
ecological reserve	Nature reserve
clostridium acetobutylicum	Clostridium acetobutylicum
fetal origins of adult disease	Thrifty phenotype
hummelstown brownstone	Hummelstown brownstone
potassium ion channels	Potassium channel
opal triplet	Opal
fly gallery	Fly system
specialty pharmacy	Specialty pharmacy
winchester drive	History of IBM magnetic disk drives
red flag traffic laws	Red flag traffic laws
ride through	Low voltage ride through
inner-worldly asceticism	Inner-worldly asceticism
thought-terminating technique	Robert Jay Lifton
jaguar xkss	Jaguar XKSS
homogeneous symplectic manifold	Symplectic manifold
intellectual property theft	Intellectual property infringement
pattern-oriented modeling	Pattern-oriented modeling
bitting code	Key code
increment operators	Increment and decrement operators
reference designator	Reference designator
minimum descent altitude	Instrument approach
database testing	Database testing
compression ratio	Compression ratio
pitot probe	Pitot tube
aerated concrete	Autoclaved aerated concrete
bird of passage	Bird migration
secondary succession	Secondary succession
completely knocked down	Knock-down kit
handle of a sword	Hilt
european retrievable carrier	European Retrievable Carrier
traffic homicide investigator	Traffic homicide investigator
strike notice	Strike notice
impulsive behaviour	Impulsivity
triplex glass	Triplex Safety Glass
membury transmitter	Membury transmitting station
odex saga	Odex's actions against file-sharing
defense ministry	Ministry of defence
smokey bear	Smokey Bear
structured packing	Structured packing
mass path	Mass path
4-aminopteroylglutamic acid	Aminopterin
list of aircraft tire companies	Aircraft tire
hard disk partition	Disk partitioning
technical evangelist	Technology evangelist
glue-laminated beam	Glued laminated timber
maneuvering thruster	Manoeuvring thruster
amiga 4000	Amiga 4000
background vocalists	Backing vocalist
video content analysis	Video content analysis
gas duster	Gas duster
programming director	Program director
list of accidents and incidents involving transport or storage of ammunition	List of accidents and incidents involving transport or storage of ammunition
crime detection	Criminal investigation
list of small nuclear reactor designs	List of small modular reactor designs
climate pollutant	Pollutant
radiological dating	Radiometric dating
michael atiyah	Michael Atiyah
monetary agreement	Currency union
direct trade	Direct trade
density weighting function	Weight function
shore hardness	Shore durometer
3-jet event	Three-jet event
convolution for optical broad-beam responses in scattering media	Convolution for optical broad-beam responses in scattering media
signing key controversy	Texas Instruments signing key controversy
wart viruses	Wart
control of fire	Control of fire by early humans
ericksen number	Ericksen number
public carrier	Common carrier
oleo curtain	Front curtain
bissel bogies	Bissel truck
let your compass guide you	Lost Experience
brownian mothion	Brownian motion
lebesgue integral	Lebesgue integration
oe polymerase chain reaction	Overlap extension polymerase chain reaction
soltan argument	Sołtan argument
rugby union player	Rugby union
tone burst	Selective calling
percentage sign	Percent sign
manggong cake	Manggong cake
continental flood basalt	Large igneous province
mutual inductance	Inductance
edison wax cylinder	Phonograph cylinder
mazda 626	Mazda Capella
salted black beans	Douchi
yamagiri class	Asagiri-class destroyer
composite cross population	Composite cross population
polyclonal immune response	Polyclonal B cell response
user registration	Registered user
indeterminate gender	Intersex
high-pressure air	Paintball equipment
adaptive-network-based fuzzy inference system	Adaptive neuro fuzzy inference system
disparity filter algorithm of weighted network	Disparity filter algorithm of weighted network
katapatthar barrage	Lakhwar Dam
health at every size	Health at Every Size
la belle époque	Belle Époque
rail float	Car float
unsigned char	C data types
pregnancy category	Pregnancy category
correlation integral	Correlation integral
radio deejaying	Disc jockey
intra sutural bones	Wormian bones
nautilus array	Nautilus Deep Space Observatory
acura csx	Acura CSX
hydrodynamic instability	Hydrodynamic stability
kelvin material	Kelvin–Voigt material
demographic gravity	Demographic gravitation
kounotori 6	Kounotori 6
perceptual adaptation	Neural adaptation
simple public-key infrastructure	Simple public-key infrastructure
hmong khene	Khene
global address space	Partitioned global address space
trade costs and facilitation	Trade costs and facilitation
h-infinity loop-shaping	H-infinity loop-shaping
star dune	Dune
resource gathering	Natural resource
atmos clock	Atmos clock
normalizable wave function	Wave function
pit still	Solar still
worm poop	Compost
major defect	Fagan inspection
european voyages of exploration	Age of Discovery
reservoir host	Natural reservoir
hair fetishism	Hair fetishism
geminids meteor shower	Geminids
psychosocial dwarfism	Psychosocial short stature
spacetime shortcut	Wormhole
venus engine	Venus Engine
stream gage	Stream gauge
kalashnikov grenade launcher	AK-47
coat of arms of new zealand	Coat of arms of New Zealand
military aircraft designation systems	Military aircraft
svenskt diplomatarium	Svenskt Diplomatarium
cédula de identidad	Cédula de identidad
euler's sieve	Sieve of Eratosthenes
millbrook reservoir	Millbrook Reservoir
ancient oceans	Ocean
pebble stone	Pebble
cost of a nuclear power plant	Economics of nuclear power plants
system-specific impulse	System-specific impulse
learning object	Learning object
soviet ruble	Soviet ruble
amarna letters-phrases and quotations	Amarna letters
contrabass tuba	Tuba
hilbert kernel	Hilbert transform
sa'ar 3-class missile boat	Sa'ar 3-class missile boat
inguinal aponeurotic falx	Conjoint tendon
ionic alphabet	History of the Greek alphabet
mohs hardness	Mohs scale of mineral hardness
semi-empirical mass formula	Semi-empirical mass formula
method of elimination	Gaussian elimination
rangoon bombing	Rangoon bombing
constant factor rule in integration	Integral
17 winchester super magnum	.17 Winchester Super Magnum
memory operation rate	Memory operations per second
arteria thyreodes ima	Thyroid ima artery
cultured butter	Butter
jawless vertebrates	Agnatha
schrodinger's cat paradox	Schrödinger's cat
419 letter	Advance-fee scam
i14 engine	Straight-14 engine
propulsive landing	Landing
boy beater	Sleeveless shirt
to design around	Design around
bicycle suspension	Bicycle suspension
leaking underground storage tank	Underground storage tank
weight checker	Check weigher
774 class	Virginia-class submarine
timblo-class interceptor craft	Timblo-class interceptor craft
transport cafes	Truck stop
bearer-independent call control	Bearer-Independent Call Control
holevo information	Holevo's theorem
gresley conjugated valve gear	Gresley conjugated valve gear
emmert experiment	Emmert's law
free time	Leisure
probabilistic relational model	Statistical relational learning
list of plasma physicists	List of plasma physicists
shaker-style pantry boxes	Shaker-style pantry box
climate damaging	Climate change
concept artist	Concept art
engin de débarquement amphibie rapide	Engin de débarquement amphibie rapide
epoxy resin bonded glass fabric	FR-4
styrene-acrylonitrile resin	Styrene-acrylonitrile resin
compensatory hyperhidrosis	Compensatory hyperhidrosis
linear no threshold hypothesis	Linear no-threshold model
molten sugar	Sugar
typical set	Typical set
student television networks	Student television station
copper clad aluminum	Copper-clad aluminium wire
slow sand filtration	Slow sand filter
dawkins fish	Variations of the ichthys symbol
cochlearia armoracia	Horseradish
field propulsion	Field propulsion
chromatographic resolution	Column chromatography
secure error messages in software systems	Error message
military parlance	Military parlance
pirate ship	Piracy
atari 820	Atari 8-bit computer peripherals
norwegian broadcasting corporation	NRK
accumulation chart	Funnel chart
pulse jet	Pulsejet
dill pickle potato chips	Potato chip
correlation-causation fallacy	Correlation does not imply causation
dama juana	Carboy
basic dimensioning	Basic dimension
parallel algorithm	Parallel algorithm
bulk mass density	Bulk density
fervent-class destroyer	Fervent-class destroyer
transparent firewall	Application firewall
license plate	Vehicle registration plate
republican guard	Republican guard
ultrasonic algae control	Ultrasonic algae control
rosh hagolah	Exilarch
system architecture evolution	System Architecture Evolution
high energy density physics	High energy density physics
watercolour painter	Watercolor painting
glass drops	Prince Rupert's drop
muscular cramp	Cramp
townsend effect	Ramsauer–Townsend effect
quantal translative momentum transfer	Duane's hypothesis
molecular electron transition	Molecular electronic transition
acer aspire one	Acer Aspire One
differential algebra	Differential algebra
gravity slingshot	Gravity assist
voiture trolley	Food cart
double blind trial	Blinded experiment
cue sports techniques	Cue sports techniques
list of genetic codes	List of genetic codes
wiener sausage	Wiener sausage
triple knock outs	Gene knockout
irregular galaxy	Irregular galaxy
ball-trap device	Chastity belt
page scroll keys	Page Up and Page Down keys
blue flag iris	Iris versicolor
three lifting surface	Three-surface aircraft
thermal image	Thermography
literary technique	List of narrative techniques
list of biogeographical puzzles	List of biogeographical puzzles
culture heroes	Culture hero
tavuklu borek	Börek
david vernon	David Vernon
bionic commando	Bionic Commando
bichromate of potash	Potassium dichromate
purine inhibitors	Purine metabolism
squatter's rights	Adverse possession
paramagnetic nuclear magnetic resonance spectroscopy	Paramagnetic nuclear magnetic resonance spectroscopy
business process	Business process
extinction level event	Extinction event
z-score table	Standard normal table
sewer jetter	Drain cleaner
defense spending	Military budget
rc radios	Radio-controlled model
stage blood	Theatrical blood
low dose aspirin	Aspirin
5-hydroxyindoleacetic acid	5-Hydroxyindoleacetic acid
atlantic depression	Low-pressure area
nicotine poisoning	Nicotine poisoning
table cream	Pudding
x11 license	MIT License
peritidal zone	Intertidal zone
university libraries	Library
x-ray safety	X-ray
portuguese television series	List of Portuguese television series
gene sequencer	DNA sequencing
model-based enterprise	Model-based enterprise
studly caps	Alternating caps
remote locking	Remote keyless system
brill publishers	Brill Publishers
shrink wrapping	Shrink wrap
shaft mining	Shaft sinking
clinical behavior analysis	Clinical behavior analysis
water frame	Water frame
splint mail	Splint armour
network drive	File server
geothermal earthquakes	Induced seismicity
biomass gasification	Gasification
history of plug-in hybrids	History of plug-in hybrids
ansei great earthquakes	Ansei great earthquakes
beryllium disease	Berylliosis
memory module	Memory module
geometric modelling	Geometric modeling
motorola 68000 series	Motorola 68000 series
bulldog-class survey vessel	Bulldog-class survey vessel
chitin-glucan complex	Chitin-glucan complex
innovative mobility colibri	IMA Colibri
nail varnish impressions of stomata	Stoma
sequence break	Sequence breaking
vacuum condensate	Vacuum expectation value
paired end	Shotgun sequencing
vestibular organ	Vestibular system
crinkle-cut fries	Crinkle-cutting
progressive meshes	Progressive meshes
pixel lighting	Shader
difference in differences	Difference in differences
radio detecting and ranging	Radar
baudelairian spleen	Spleen
göta canal	Göta Canal
initial attack	Glossary of wildfire terms
unicode character	Universal Character Set characters
list of cryptologists	List of cryptographers
elongated cubic honeycomb	Tetrahedral-octahedral honeycomb
barricade gel	Fire retardant gel
peer reviewing	Peer review
hydraulic coupling	Fluid coupling
interlaced scan	Interlaced video
nicolas bourbaki	Nicolas Bourbaki
anisotropic conductive film	Anisotropic conductive film
guerrilla war	Guerrilla warfare
rectal exam	Rectal examination
space burial	Space burial
comoving observer	Comoving and proper distances
moon property	Extraterrestrial real estate
video game concept art	Video game art
costume design	Costume design
free electrons	Free electron
cross-origin resource sharing	Cross-origin resource sharing
reference cycle	Reference counting
charged particle	Charged particle
baked egg	Shirred eggs
arterial gush	Blood squirt
ship replica	Ship replica
mars orbit rendezvous	Mars orbit rendezvous
nose whistle	Nose whistle
intelligent city	Smart city
integer linear programming	Integer programming
two-photon excited fluorescence microscopy	Two-photon excitation microscopy
gerrard car route	506 Carlton
types of knife steel	List of blade materials
röntgen equivalent man	Roentgen equivalent man
cable railway	Cable railway
extragalactic jet	Astrophysical jet
30-pounder long gun	30-pounder long gun
wordless novel	Wordless novel
standup paddleboarder	Standup paddleboarding
visual stealth	Military camouflage
fragile base class problem	Fragile base class
cosmos 133	Kosmos 133
biometrics technology	Biometrics
well-founded semantics	Well-founded semantics
futtock shrouds	Futtock shrouds
spin model	Spin model
fossil tracks	Fossil track
river management	River engineering
solar ovens	Solar cooker
flag of mars	Flag of Mars
water balance	Water balance
protocol header encryption	BitTorrent protocol encryption
morphea en coup de sabre	Morphea
dog shit girl	Dog poop girl
pop station	Contemporary hit radio
seat belt use rates by country	Seat belt use rates by country
focal point	Focal point
emergency alert system	Emergency Alert System
read-only rights	File-system permissions
ipod classic	IPod Classic
fission track dating	Fission track dating
beam propagation method	Beam propagation method
list of abuse allegations made via facilitated communication	List of abuse allegations made through facilitated communication
forrestal fire	1967 USS Forrestal fire
photovoltaic system performance	Photovoltaic system performance
sultanabad rugs and carpets	Sultanabad rugs and carpets
lgbt pride flags	LGBT symbols
tourné knife	Kitchen knife
bamboo processing machine	Bamboo processing machine
pyrotechnic composition	Pyrotechnic composition
ocular pigmentation	Biological pigment
barley grass	Barley
junon-class frigate	Minerve-class frigate
bird skeleton	Bird anatomy
list of old-time radio people	List of old-time American radio people
pictorial map	Pictorial map
peugeot 105	Peugeot Type 105
multiple-barrel firearm	Multiple-barrel firearm
cmy color model	CMY color model
peukert factor	Peukert's law
recycling bin	Recycling bin
impulse invariance	Impulse invariance
gm sigma platform	GM Sigma platform
order-disorder transition	Order and disorder
underground water	Groundwater
bass reflex	Bass reflex
conservation of topsoil	Topsoil
supercritical liquid	Supercritical fluid
quantum gravitation	Quantum gravity
isotopes of arsenic	Isotopes of arsenic
vitis vinefera	Vitis vinifera
bollack netter and co	Bollack Netter and Co
bakeriella dulcifica	Synsepalum dulcificum
curved space	Curved space
klieg eye	Klieg light
variable refresh rate display	Variable refresh rate
double terminated crystal	Double terminated crystal
vacuum arc	Vacuum arc
oncofetal antigen	Oncofetal antigen
on ones haunches	Squatting position
dwarf wall	Wall
abrus pauciflorus	Abrus precatorius
quingestanol acetate	Quingestanol acetate
green cleaning	Green cleaning
state of siege	State of emergency
lander-waterman equation	DNA sequencing theory
this page left intentionally blank	Intentionally blank page
data infrastructure	Data infrastructure
bermuda rigged	Bermuda rig
superconducting qubits	Superconducting quantum computing
chemicals in electronic cigarette vapor	Composition of electronic cigarette aerosol
whisky flask	Hip flask
direct and indirect realism	Direct and indirect realism
chinese speech synthesis	Chinese speech synthesis
blackwater river	Blackwater river
advertising in biology	Advertising in biology
ridge lift	Ridge lift
christian format	Christian radio
coat of arms of kuwait	Emblem of Kuwait
casting out 9s	Casting out nines
display face	Display typeface
stabilizer bar	Anti-roll bar
racial science	Scientific racism
thermal inkjet printer	Inkjet printing
hamster ball	Hamster ball
research directions of spinal cord injury	Spinal cord injury research
scented candles	Candle
process analysis	Process analysis
grinding belt	Coated abrasive
ketone body	Ketone bodies
missing-women puzzle	Missing women
japanese printmaking	Woodblock printing in Japan
gravitational keyhole	Gravitational keyhole
list of metal gear characters	List of Metal Gear characters
