term,annotation,df
poz/zinc finger transcription factors,protein,jnlpba
cytosolic glucocorticoid receptor,protein,jnlpba
immature thymic t lymphocytes,cell_type,jnlpba
splenic leukocytes,cell_type,jnlpba
immune cells and tissues,cell_type,jnlpba
human heb cdna,DNA,jnlpba
"mammalian e2a , heb , and e2-2 genes",DNA,jnlpba
e2a,DNA,jnlpba
heb,DNA,jnlpba
e2-2,DNA,jnlpba
e12 and e47 exons,DNA,jnlpba
e12 and e47 bhlh proteins,protein,jnlpba
b lymphopoiesis,cell_type,jnlpba
endogenous e2a promoter,DNA,jnlpba
e12,DNA,jnlpba
human il-2 promoter,DNA,jnlpba
co-stimulate human t cells,cell_type,jnlpba
raji b cell lymphoma,cell_line,jnlpba
human mhc class ii,protein,jnlpba
luciferase reporter gene constructs,DNA,jnlpba
il-2 promoter-enhancer region,DNA,jnlpba
activation protein-1,protein,jnlpba
cd86+ apc,cell_type,jnlpba
dr3 gene,DNA,jnlpba
human chromosome 1p36,DNA,jnlpba
human neuroblastoma,cell_type,jnlpba
human dr3 gene,DNA,jnlpba
wsl-1/apo-3/tramp/lard,protein,jnlpba
tumor necrosis factor-related receptor,protein,jnlpba
dr3 gene locus,DNA,jnlpba
human chromosome band 1p36.2-p36.3,DNA,jnlpba
neuroblastoma ( nb ) cell lines,cell_line,jnlpba
nb cell lines,cell_line,jnlpba
dr3 and the dr3l sequences,DNA,jnlpba
dr3/ wsl-1 protein,protein,jnlpba
normal and malignant human myeloid progenitors,cell_type,jnlpba
cfu-gm,cell_type,jnlpba
labile protein,protein,jnlpba
granulocyte/macrophage progenitors,cell_type,jnlpba
malignant progenitors,cell_type,jnlpba
clonogenic cells,cell_line,jnlpba
human acute nonlymphocytic leukemia cell lines hl-60 and kg-1,cell_line,jnlpba
mononuclear or clonogenic cells,cell_line,jnlpba
cml progenitors,cell_type,jnlpba
clonogenic hl-60 and kg-1 cells,cell_line,jnlpba
human chronic myeloid leukemia cells,cell_type,jnlpba
mononuclear cell preparations,cell_line,jnlpba
labeled cells,cell_line,jnlpba
"1 , 25- ( oh ) 2d3 receptor-positive t47d",cell_line,jnlpba
t47d,cell_line,jnlpba
cml,cell_line,jnlpba
mouse and human lymphoid cell lines,cell_line,jnlpba
exponentially growing cells,cell_type,jnlpba
dexamethasone-sensitive cell lines,cell_line,jnlpba
cell protein,protein,jnlpba
dexamethasone-resistant cell lines,cell_line,jnlpba
cell specimen,cell_type,jnlpba
steroid-inducible gs,protein,jnlpba
all cells,cell_type,jnlpba
functional receptor sites,protein,jnlpba
concanavalin a,protein,jnlpba
immunoglobulin secreting cells,cell_type,jnlpba
pokeweed mitogen-stimulated cultures,cell_line,jnlpba
chronic lymphocytic leukemia cells,cell_type,jnlpba
human chronic lymphocytic leukemia ( cll ) cells,cell_type,jnlpba
prothymocytes,cell_type,jnlpba
immunoactivated t-lymphocytes,cell_type,jnlpba
cll cells,cell_type,jnlpba
nuclear chromatin,DNA,jnlpba
human cll cells,cell_line,jnlpba
rat or murine lymphocytes,cell_type,jnlpba
high receptor cell lines,cell_line,jnlpba
low-receptor cell lines,cell_line,jnlpba
low-receptor lines,cell_line,jnlpba
estrogen and progesteron receptors,protein,jnlpba
aldosterone-receptor,protein,jnlpba
abnormal type i,protein,jnlpba
`` mineralocorticoid-like '' receptors,protein,jnlpba
renal mineralocorticoid receptors,protein,jnlpba
cells,cell_type,jnlpba
percoll-separated control monocytes,cell_type,jnlpba
urokinase-like plasminogen activators,protein,jnlpba
cultured human lymphoblasts,cell_line,jnlpba
human lymphoblast cell lines,cell_line,jnlpba
licr-lon-hmy2,cell_line,jnlpba
hmy2 cells,cell_line,jnlpba
gm4672a cells,cell_line,jnlpba
urokinase ( uk ) -like plasminogen activator,protein,jnlpba
pa,protein,jnlpba
hmy2 and gm4672a cells,cell_line,jnlpba
hmy2 cell,cell_line,jnlpba
dex-treated cells,cell_line,jnlpba
glucocorticoid-inducible inhibitors,protein,jnlpba
uk,protein,jnlpba
plasmin,protein,jnlpba
dex-treated gm4672a cells,cell_line,jnlpba
gm4672a pa,protein,jnlpba
uk-like pas,protein,jnlpba
constitutively expressed activator,protein,jnlpba
human mononuclear leukocytes,cell_line,jnlpba
mineralocorticoid and glucocorticoid receptors,protein,jnlpba
circulating mononuclear leukocytes,cell_type,jnlpba
lymphoid tissue,cell_type,jnlpba
lymphocyte subpopulations,cell_line,jnlpba
lymphocyte populations,cell_line,jnlpba
cona,protein,jnlpba
lps,protein,jnlpba
t and b cell mitogen,protein,jnlpba
normal and leukaemic peripheral leucocytes,cell_type,jnlpba
aml,cell_line,jnlpba
all,cell_line,jnlpba
theophylline,protein,jnlpba
"aml , cll and all peripheral leucocytes",cell_line,jnlpba
lymphoid cell,cell_type,jnlpba
human leukocyte interferon,protein,jnlpba
cytosol and nuclear estrogen receptors,protein,jnlpba
erc,protein,jnlpba
ern,protein,jnlpba
progestin receptors,protein,jnlpba
prc,protein,jnlpba
prn,protein,jnlpba
"endometrial erc , ern , prc and prn",protein,jnlpba
serum alkaline phosphatase,protein,jnlpba
gamma-glutamyltransferase,protein,jnlpba
blood leukocytes,cell_type,jnlpba
leukocyte glucocorticoid receptors,protein,jnlpba
leukocyte receptors,protein,jnlpba
human blood-derived macrophages and alveolar macrophages,cell_type,jnlpba
lymphokines,cell_type,jnlpba
dexamethasone-treated macrophages,cell_line,jnlpba
macrophages,cell_line,jnlpba
tac antigen,protein,jnlpba
antigen-specific t-cell receptor complex,protein,jnlpba
anti-tac,protein,jnlpba
leukemic t-cell populations,cell_line,jnlpba
human t-cell lymphotropic virus-i infected cells,cell_type,jnlpba
open reading frame protein,protein,jnlpba
px region,DNA,jnlpba
transacting transcriptional activator,protein,jnlpba
il-2 receptor gene,DNA,jnlpba
glucocorticoid hormone receptor,protein,jnlpba
intracellular protein,protein,jnlpba
anti-receptor antibodies,protein,jnlpba
thiol groups,protein,jnlpba
key amino acid residues,protein,jnlpba
stable complex,protein,jnlpba
stable but inefficient complex,protein,jnlpba
transformed receptor,protein,jnlpba
receptor thiol group,protein,jnlpba
t-lymphocyte receptors,protein,jnlpba
human peripheral t-lymphocytes,cell_type,jnlpba
insulin receptors,protein,jnlpba
hydroxyurea-treated cells,cell_line,jnlpba
cell membrane and cytoplasmic receptors,protein,jnlpba
human clonal monocytic cell line,cell_line,jnlpba
cm-sm,cell_line,jnlpba
clonal line,cell_line,jnlpba
human precursor mononuclear phagocytes,cell_type,jnlpba
lysosomal enzymes,protein,jnlpba
fc and c3 receptors,protein,jnlpba
malignant clones,cell_line,jnlpba
all cells,cell_line,jnlpba
pha-stimulated cell cultures,cell_line,jnlpba
anll cells,cell_line,jnlpba
peanut-positive and peanut-negative human thymocyte subpopulations,cell_line,jnlpba
unagglutinated thymocytes,cell_type,jnlpba
peanut-negative thymocyte subpopulation,cell_line,jnlpba
peanut-positive,cell_line,jnlpba
peanut-negative subset,cell_line,jnlpba
specific functional receptors,protein,jnlpba
b- as well as t-lymphocytes,cell_type,jnlpba
immunoglobulins,protein,jnlpba
porkweed,protein,jnlpba
human leukemic glucocorticoid receptors,protein,jnlpba
anti-human glucocorticoid receptor antibodies,protein,jnlpba
human lymphoid glucocorticoid receptors,protein,jnlpba
human b-lymphoblastoid cell line,cell_line,jnlpba
human t-cell leukemic cell line,cell_line,jnlpba
[ 3h ] triamcinolone acetonide [ ( 3h ] ta ) -glucocorticoid receptor complexes,protein,jnlpba
[ 3h ] ta-receptor-antibody complexes,protein,jnlpba
protein a,protein,jnlpba
[ 3h ] ta-receptor complexes,protein,jnlpba
murine s49 cell glucocorticoid receptors,protein,jnlpba
glucocorticoid receptor-deficient cell line,cell_line,jnlpba
human infant thymocytes,cell_type,jnlpba
medullary and peripheral blood t cells,cell_type,jnlpba
immature thymic t cells,cell_type,jnlpba
human malignant thymus derived t cell line,cell_line,jnlpba
molt 3,cell_line,jnlpba
molt 3 cells,cell_line,jnlpba
specific high-affinity receptors,protein,jnlpba
resting human peripheral blood t lymphocytes,cell_type,jnlpba
circulating cells,cell_type,jnlpba
circulating monocytes or erythrocytes,cell_type,jnlpba
normal human lymphocytes,cell_type,jnlpba
immunoglobulin g,protein,jnlpba
major histocompatibility antigens,protein,jnlpba
hla-a,protein,jnlpba
-b,protein,jnlpba
ia-like,protein,jnlpba
mononuclear cell,cell_type,jnlpba
infiltrating mononuclear cells,cell_type,jnlpba
okt8 cells,cell_line,jnlpba
ia antigen,protein,jnlpba
okm i,protein,jnlpba
acid phosphatase,protein,jnlpba
hla class-i antigens,protein,jnlpba
tumor cell,cell_type,jnlpba
cutaneous fibroblasts,cell_type,jnlpba
5-alpha-reductase,protein,jnlpba
murine spleen and thymus cells,cell_type,jnlpba
antigen,protein,jnlpba
ia-restricted t cell hybridomas,cell_line,jnlpba
ia-bearing stimulator cells,cell_type,jnlpba
ta3,cell_type,jnlpba
ia-bearing stimulator cells,cell_line,jnlpba
t hybridoma,cell_line,jnlpba
ta3 stimulator cell,cell_line,jnlpba
"1 , 25- ( oh ) 2d3 receptors",protein,jnlpba
ta3 cells,cell_line,jnlpba
anti-thy-1 antibody,protein,jnlpba
glucocorticoid ( gc ) receptors,cell_type,jnlpba
gc receptors,protein,jnlpba
estrogen binding sites,protein,jnlpba
thymic cells,cell_type,jnlpba
"human peripheral blood mononuclear cells ,",cell_type,jnlpba
splenic and thymic cells,cell_type,jnlpba
receptor sites,protein,jnlpba
fibroblast interferon,protein,jnlpba
human fibroblast interferon,protein,jnlpba
transferase,protein,jnlpba
tdt,protein,jnlpba
adenosine deaminase,protein,jnlpba
5'nucleotidase,protein,jnlpba
glucocorticoid ( dexamethasone ) receptor,protein,jnlpba
leukaemic blast cells,cell_type,jnlpba
leukemic lymphoblasts,cell_type,jnlpba
glucocorticoid-sensitive and -resistant variants,cell_line,jnlpba
human leukemic cell line,cell_line,jnlpba
glucocorticoid-sensitive cells,cell_line,jnlpba
[ 3h ] cvz-receptor complexes,protein,jnlpba
high affinity site,protein,jnlpba
glucocorticoid-resistant cell line,cell_line,jnlpba
high affinity binding site,protein,jnlpba
glucocorticoid-sensitive cell line,cell_line,jnlpba
c7,cell_line,jnlpba
cytoplasmic and nuclear glucocorticoid receptors,protein,jnlpba
receptor -- 3h-steroid complex,protein,jnlpba
hormone-receptor complex,protein,jnlpba
cytosolic receptor,protein,jnlpba
emerging blast cells,cell_type,jnlpba
pre-plasmacytoid cells,cell_type,jnlpba
cll- or intermediate b-cells,cell_type,jnlpba
terminal transferase,protein,jnlpba
acute lymphocytic leukemia antigen,protein,jnlpba
ia+,protein,jnlpba
surface immunoglobulin heavy chains,protein,jnlpba
surface kappa light chains,protein,jnlpba
intracytoplasmic immunoglobulin a+ and g+,protein,jnlpba
ba-1+,protein,jnlpba
chromosomes 14 and 17,DNA,jnlpba
cellular receptor proteins,protein,jnlpba
cytoplasmic hormone-receptor complex,protein,jnlpba
e2-receptor,protein,jnlpba
large blasts,cell_type,jnlpba
cll-like cells,cell_type,jnlpba
cytosolic glucocorticoid receptors,protein,jnlpba
glucocorticoid-binding sites,protein,jnlpba
endogenous peptidases,protein,jnlpba
fresh or rapidly frozen leukocytes,cell_type,jnlpba
leukemic cell specimens,cell_type,jnlpba
oligomeric complexes,protein,jnlpba
subunit,protein,jnlpba
peptidases,protein,jnlpba
endogenous enzymes,protein,jnlpba
leukemic specimens,cell_type,jnlpba
malignant lymphoid or myelomonocytic cell types,cell_type,jnlpba
normal and malignant rodent and human cells,cell_type,jnlpba
rat thymocyte,cell_type,jnlpba
human lymphoid glucocorticoid receptor,protein,jnlpba
rat thymic lymphocytes,cell_type,jnlpba
neoplastic cells,cell_type,jnlpba
intact thymocytes,cell_type,jnlpba
smaller moieties,protein,jnlpba
proteolytic fragments,protein,jnlpba
rat and human lymphoid cells,cell_type,jnlpba
oestrogen and progesterone receptors,protein,jnlpba
oestrogen ( rec ) and progesterone ( rpc ) receptors,protein,jnlpba
rec,protein,jnlpba
rpc,protein,jnlpba
intracytoplasmic corticosteroid-specific receptors,protein,jnlpba
human circulating mononuclear cells,cell_type,jnlpba
drug-induced immunoregulation,cell_type,jnlpba
monocyte-dependent responses,cell_type,jnlpba
"lymphoblastoid , leukaemia and lymphoma lines",cell_line,jnlpba
hlcl,cell_line,jnlpba
lymphoblastoid,cell_line,jnlpba
lymphoma,cell_line,jnlpba
leukaemia,cell_line,jnlpba
cytoplasmic receptors,protein,jnlpba
leukaemia and lymphoblastoid lines,cell_line,jnlpba
cytoplasmic steroid-receptor complexes,protein,jnlpba
hemopoietic lineage,cell_line,jnlpba
b7-1- and leukocyte function-associated ag-3 ( lfa. 3 ) -costimulated t cells,cell_type,jnlpba
b7-1- and lfa-3-costimulated jurkat t cells,cell_type,jnlpba
activation protein-1 response element,DNA,jnlpba
p65-expressing jurkat cells,cell_line,jnlpba
nuclear factor kappabeta reporter construct,DNA,jnlpba
cd28 response element ( cd28re ) -driven reporters,DNA,jnlpba
b7-1-costimulated cells,cell_line,jnlpba
il-2 promoter- and cd28re-driven reporter constructs,DNA,jnlpba
lfa-3- and b7-1-costimulated jurkat cells,cell_type,jnlpba
upstream nuclear factor kappabeta-binding site,DNA,jnlpba
vav,DNA,jnlpba
guanine-nucleotide exchange factor,protein,jnlpba
vav-/- t cells,cell_type,jnlpba
stress-activated kinase,protein,jnlpba
nf-atc1 and egr-1 genes,DNA,jnlpba
cytoplasmic nf-atc,protein,jnlpba
vav-/- cells,cell_type,jnlpba
e-selectin-specific mrna,RNA,jnlpba
primary monocytic cells,cell_type,jnlpba
promonocytic u937 ( u9-iiib ) and myeloblastic plb-985 ( plb-iiib ) cells,cell_line,jnlpba
parental u937,cell_line,jnlpba
u937 and u9-iiib cells,cell_line,jnlpba
non-apoptotic inducer il-1beta,protein,jnlpba
u9-iiib and plb-iiib cells,cell_line,jnlpba
nf-kappab protects cells,cell_type,jnlpba
bax protein,protein,jnlpba
ikappab alpha repressor mutants,protein,jnlpba
td-ikappab,protein,jnlpba
tetracycline-responsive promoter,DNA,jnlpba
td-ikappab expressing cells,cell_type,jnlpba
human normal peripheral blood b-lymphocytes,cell_type,jnlpba
ku86 protein,protein,jnlpba
ku protein,protein,jnlpba
86 kda ( ku86 ),protein,jnlpba
70 kda ( ku70 ) subunits,protein,jnlpba
dna termini,DNA,jnlpba
dna-targeting component,protein,jnlpba
catalytic sub-unit,protein,jnlpba
dna-dependent protein kinase complex,protein,jnlpba
dna-pk [ cs ],protein,jnlpba
major ku x dna complex,protein,jnlpba
faster migrating complex,protein,jnlpba
circulating lymphocyte population,cell_type,jnlpba
86 kda- full-length protein,protein,jnlpba
heterodimer ku70/variant-ku86,protein,jnlpba
dna-ends,DNA,jnlpba
ku heterodimer,protein,jnlpba
catalytic component,protein,jnlpba
camp-response element binding protein creb,protein,jnlpba
human pbmc,cell_type,jnlpba
jurkat lymphocyte cell line,cell_line,jnlpba
il-2 and cd2 or cd3 receptors,protein,jnlpba
il-2/cd3 co-stimulated cells,cell_type,jnlpba
pha blasts,cell_type,jnlpba
transcription factor pu.1,protein,jnlpba
transcription factor lklf,protein,jnlpba
cognate antigen,protein,jnlpba
lung kruppel-like transcription factor,protein,jnlpba
lklf-deficient peripheral t cells,cell_type,jnlpba
dominant-negative madmyc protein,protein,jnlpba
htlv-1 p12 ( i ) protein,protein,jnlpba
p12 ( i ) protein,protein,jnlpba
px open reading frame i,DNA,jnlpba
hydrophobic protein,protein,jnlpba
p12 ( i ),protein,jnlpba
src homology 3-binding motifs,protein,jnlpba
pxxp,protein,jnlpba
interleukin-2 receptor ( il-2r ) beta chain,protein,jnlpba
jak1 and jak3 kinases,protein,jnlpba
signal transducers and activators of transcription 5,protein,jnlpba
il-2r beta and gamma ( c ) chains,protein,jnlpba
primary human peripheral blood mononuclear cells,cell_line,jnlpba
human immunodeficiency virus type 1-based retroviral vector,DNA,jnlpba
alphacd3 and alphacd28 antibodies,protein,jnlpba
p12 ( i ) -transduced pbmcs,cell_type,jnlpba
retinal autoantigen,protein,jnlpba
alexa-488 labelled retinal antigen,protein,jnlpba
retinal antigen,protein,jnlpba
stat 3,protein,jnlpba
interleukin ( il ) -18 receptor alpha chain,protein,jnlpba
interleukin ( il ) -18,protein,jnlpba
costimulatory factor,protein,jnlpba
il-12-mediated interferon ( ifn ) -gamma,protein,jnlpba
t helper ( th ) 1 cells,cell_type,jnlpba
il-18 receptor alpha chain,protein,jnlpba
il-18ralpha,protein,jnlpba
peripheral cd4 ( + ) t cells,cell_type,jnlpba
activated cd4 ( + ) t cells,cell_type,jnlpba
cd4 ( + ) cells,cell_type,jnlpba
il-4 ( -/ ) - and signal transducer and activator of transcription ( stat ) 6 ( -/ ) - t cells,cell_type,jnlpba
glucocorticoid-regulated transcription factors,protein,jnlpba
pro-inflammatory transcription factors,protein,jnlpba
histones,protein,jnlpba
local dna structure,DNA,jnlpba
hats,protein,jnlpba
hdacs,protein,jnlpba
hdac2,protein,jnlpba
nf-kappa b/hat complex,protein,jnlpba
gr-specific hat,protein,jnlpba
activated gr,protein,jnlpba
human monocyte/macrophages,cell_type,jnlpba
class a scavenger receptor,protein,jnlpba
sra,protein,jnlpba
lipoprotein receptor,protein,jnlpba
sra mrna,RNA,jnlpba
sra protein,protein,jnlpba
class b scavenger receptor cd36,protein,jnlpba
peroxisome proliferator-activated receptor-gamma,protein,jnlpba
peritoneal mesothelial cells,cell_type,jnlpba
human peritoneal mesothelial cells,cell_type,jnlpba
mesothelial cells,cell_type,jnlpba
mcp-1 mrna,RNA,jnlpba
mcp-1 protein,protein,jnlpba
anti-mcp-1 antibody,protein,jnlpba
anti-cd54,protein,jnlpba
resting memory b cells,cell_type,jnlpba
ebv-encoded latent membrane protein 1 ( lmp1 ) oncogene,DNA,jnlpba
tumor necrosis factor receptor family,protein,jnlpba
tumor necrosis factor receptor-associated factor ( traf ) family,protein,jnlpba
ebv latency genes,DNA,jnlpba
ebv-associated lymphomas,cell_line,jnlpba
interferon ( ifn ) -alpha,protein,jnlpba
"fyn , a src homology tyrosine kinase",protein,jnlpba
th1-reactive cells,cell_type,jnlpba
p21 ( cip1/waf1 ) promoter,DNA,jnlpba
bone morphogenetic protein-2,protein,jnlpba
b lineage cells,cell_line,jnlpba
bmps,protein,jnlpba
bmp-2,protein,jnlpba
hs-72 mouse hybridoma cells,cell_line,jnlpba
29-base pair ( b ) region,DNA,jnlpba
smad1,protein,jnlpba
smad4,protein,jnlpba
bmp type i receptors,protein,jnlpba
29-b region,DNA,jnlpba
phosphorylated smad1,protein,jnlpba
dendritic cell,cell_type,jnlpba
cd8 alpha+ mac-1- dcs,cell_type,jnlpba
cd8 alpha- mac-1+ dcs,cell_type,jnlpba
cd8 alpha+ and cd8 alpha- dcs,cell_type,jnlpba
clonogenic common myeloid progenitors,cell_type,jnlpba
cmps,cell_type,jnlpba
cd8 alpha,protein,jnlpba
thymic dcs,cell_type,jnlpba
extracellular signal-regulated kinases 1 and 2,protein,jnlpba
toll-like receptors 2 and 4,protein,jnlpba
mdm,cell_type,jnlpba
toll-like receptor 2,protein,jnlpba
signal-transducing receptors,protein,jnlpba
extracellular signal-regulated kinases ( erk ) 1/2,protein,jnlpba
p38 mitogen-activated kinase,protein,jnlpba
mb-stimulated mdm,cell_type,jnlpba
monomac6 cells,cell_line,jnlpba
mb-treated thp-1 cells,cell_line,jnlpba
tlr2 or 4,protein,jnlpba
co-receptors,protein,jnlpba
nuclear peroxisome proliferator-activated receptors alpha and gamma,protein,jnlpba
peroxisome proliferator-activated receptors ( ppars ) alpha and gamma,protein,jnlpba
ppar-alpha and -gamma,RNA,jnlpba
ppar-alpha and -gamma,protein,jnlpba
ppar-alpha/gal4 luciferase reporter,DNA,jnlpba
ppar-gamma/gal4 constructs,DNA,jnlpba
ppar response element luciferase reporter,DNA,jnlpba
ppar-alpha,protein,jnlpba
ppar-gamma,protein,jnlpba
p65p50 heterodimers,protein,jnlpba
p50p50 homodimers,protein,jnlpba
immunosuppressive cytokines,protein,jnlpba
kupffer cells,cell_type,jnlpba
il-12 p40 gene,DNA,jnlpba
il-12 p70 protein,protein,jnlpba
infected macrophages,cell_type,jnlpba
uninfected macrophages,cell_type,jnlpba
il-12 p35 gene,DNA,jnlpba
p. berghei-infected erythrocytes,cell_type,jnlpba
uninfected and infected cells,cell_type,jnlpba
ifn-regulatory factor-1 gene,DNA,jnlpba
ifn-regulatory factor-1,protein,jnlpba
friend of gata proteins,protein,jnlpba
fog-1,protein,jnlpba
fog-2,protein,jnlpba
friend of gata ( fog ) proteins,protein,jnlpba
fog and gata proteins,protein,jnlpba
drosophila fog homologue u-shaped,protein,jnlpba
ush,protein,jnlpba
lozenge and glial cells,cell_type,jnlpba
crystal cells,cell_type,jnlpba
plasmatocytes,cell_type,jnlpba
hemocyte precursors,cell_type,jnlpba
gata factor serpent,protein,jnlpba
murine fog-1 and fog-2,protein,jnlpba
corepressor c-terminal binding protein,protein,jnlpba
gata factor pannier,protein,jnlpba
pnr,protein,jnlpba
mutant fog-2,protein,jnlpba
fog proteins,protein,jnlpba
cardial or eye cell lineages,cell_line,jnlpba
ring finger protein,protein,jnlpba
siah-1,protein,jnlpba
octamer site dna,DNA,jnlpba
c-terminal,protein,jnlpba
n-terminus,protein,jnlpba
oct pou domains,protein,jnlpba
obf-1 protein,protein,jnlpba
primary activated b cells,cell_type,jnlpba
cd4 ( + ) cd8 ( + ) thymocyte,cell_type,jnlpba
trans-acting t cell factors,protein,jnlpba
tcfs,protein,jnlpba
lymphoid enhancer factor 1,protein,jnlpba
beta-catenin -- binding domain,protein,jnlpba
cd4 ( + ) cd8 ( + ) double-positive ( dp ) thymocytes,cell_type,jnlpba
bcl-2 transgene,DNA,jnlpba
tcf-1-deficient dp thymocytes,cell_type,jnlpba
immature t cells,cell_type,jnlpba
t cell receptor ( tcr ) alpha chains,protein,jnlpba
trail/apo2l ligand,protein,jnlpba
tumor necrosis factor ( tnf ) -related apoptosis-inducing ligand/apo2 ligand,protein,jnlpba
trail/apo2l,protein,jnlpba
mm cells,cell_type,jnlpba
mm cell lines,cell_line,jnlpba
peripheral blood and bone marrow mononuclear cells,cell_type,jnlpba
purified b cells,cell_type,jnlpba
trail receptors,protein,jnlpba
human mm cells,cell_type,jnlpba
plasmacytomas,cell_type,jnlpba
trail receptor,protein,jnlpba
death receptor 5,protein,jnlpba
dr5,protein,jnlpba
trail-sensitive mm cells,cell_type,jnlpba
arh-77 and im-9 mm cells,cell_type,jnlpba
janus kinases/stat4,protein,jnlpba
tcr-triggered t cells,cell_type,jnlpba
anti-cd28-costimulated t cells,cell_type,jnlpba
jak2/tyk2,protein,jnlpba
anti-cd28-uncostimulated t cells,cell_type,jnlpba
jaks/stat4,protein,jnlpba
akt-1,protein,jnlpba
human monocyte-differentiated macrophages,cell_type,jnlpba
tensin homologue,DNA,jnlpba
src homology 2 domain-containing 5 ' inositol phosphatase,protein,jnlpba
macro-phage,cell_type,jnlpba
pi3k-regulated serine/threonine kinase,protein,jnlpba
dominant negative ( dn ) akt-1,protein,jnlpba
caspases-9 and -3,protein,jnlpba
dn akt-1,protein,jnlpba
nasal polyp inflammatory cells,cell_type,jnlpba
glucocorticoid receptor splice variant,protein,jnlpba
nasal polyp ( np ) inflammatory cells,cell_type,jnlpba
nps,cell_type,jnlpba
eg2-positive eosinophils,cell_type,jnlpba
cd4-positive t lymphocytes,cell_type,jnlpba
il-4 mrna-positive cells,cell_type,jnlpba
grbeta-positive inflammatory cells,cell_type,jnlpba
grbeta-positive/gralpha-positive cells,cell_type,jnlpba
grbeta-positive eosinophils,cell_type,jnlpba
`` fp-insensitive '' nps,cell_type,jnlpba
il-5-positive inflammatory cells,cell_type,jnlpba
np inflammatory cells,cell_type,jnlpba
np,cell_type,jnlpba
galectin-10,protein,jnlpba
eosinophil charcot-leyden crystal protein,protein,jnlpba
gal-10,protein,jnlpba
charcot-leyden crystal protein,protein,jnlpba
galectin family,protein,jnlpba
beta-galactoside binding proteins,protein,jnlpba
eosinophilic and basophilic leukocytes,cell_type,jnlpba
consensus-binding sites,DNA,jnlpba
minimal promoters,DNA,jnlpba
"galectins -1 , -2 , and -3",DNA,jnlpba
oct site,DNA,jnlpba
gata and eotf sites,DNA,jnlpba
consensus gc box,DNA,jnlpba
gal-1,DNA,jnlpba
consensus aml site,DNA,jnlpba
yy1 binding,protein,jnlpba
inr sequence,DNA,jnlpba
gal-10 promoter,DNA,jnlpba
adipophilin,protein,jnlpba
macrophage foam cells,cell_type,jnlpba
freshly isolated blood monocytes,cell_type,jnlpba
adipophilin protein,protein,jnlpba
enzymatically modified low-density lipoprotein,protein,jnlpba
e-ldl,protein,jnlpba
adipophilin mrna,RNA,jnlpba
melanoma cell lines,cell_line,jnlpba
melanocytes,cell_type,jnlpba
hla-d isotypes,DNA,jnlpba
hla-d genes,DNA,jnlpba
ciita ( class ii transactivator ) transcripts,RNA,jnlpba
promoter iii,DNA,jnlpba
ciita promoter iii,DNA,jnlpba
epithelioid cells,cell_type,jnlpba
ca ( 2+ ) /calmodulin-dependent ser/thr phosphatase ( protein phosphatase 2b ),protein,jnlpba
60-kda catalytic subunit,protein,jnlpba
calcineurin a,protein,jnlpba
cn a,protein,jnlpba
45-kda,protein,jnlpba
effector caspase-3,protein,jnlpba
truncated cn a,protein,jnlpba
human myeloid dendritic cells,cell_type,jnlpba
immature dendritic cells,cell_type,jnlpba
cd14-positive cells,cell_type,jnlpba
tumor necrosis factor ( tnf ) -a,protein,jnlpba
nuclear transcription factor ( nf ) -kappa b,protein,jnlpba
cd83,protein,jnlpba
maturing human dendritic cells,cell_type,jnlpba
major histocompatibility complex ( mhc ) region,DNA,jnlpba
genome,DNA,jnlpba
lymphocytic and monocytic lineages,cell_line,jnlpba
proteasome subunit lmp2,protein,jnlpba
mhc genomic region,DNA,jnlpba
cd4 ( + ) cd8 ( + ) thymocytes,cell_type,jnlpba
ets activator,protein,jnlpba
pericentromeric heterochromatin,DNA,jnlpba
ikaros dimers,protein,jnlpba
lymphocyte-specific tdt promoter,DNA,jnlpba
integrated tdt promoter,DNA,jnlpba
cd4 ( + ) cd8 ( + ) thymocyte line,cell_line,jnlpba
isoform,protein,jnlpba
small ikaros isoform,protein,jnlpba
multimeric complexes,protein,jnlpba
dna-bound ikaros,protein,jnlpba
tdt promoter,DNA,jnlpba
pericentromeric repeat sequences,DNA,jnlpba
inactive gene,DNA,jnlpba
type i ifn,protein,jnlpba
central immunoregulatory cytokine,protein,jnlpba
cd4 ( + ) t cell arm,protein,jnlpba
il-12p40 gene,DNA,jnlpba
upstream ets site,DNA,jnlpba
il-12p40 promoter,DNA,jnlpba
inhibitor-kappab,protein,jnlpba
proinflammatory transcription factor nuclear factor-kappab,protein,jnlpba
inhibitory protein ikappab,protein,jnlpba
plasma soluble intracellular adhesion molecule-1,protein,jnlpba
plasminogen activator inhibitor-1,protein,jnlpba
plasma monocyte chemoattractant protein-1,protein,jnlpba
soluble intracellular adhesion molecule-1,protein,jnlpba
p47 ( phox ) subunit protein,protein,jnlpba
gp34/ox40 ligand,protein,jnlpba
ox40,protein,jnlpba
tumor necrosis factor ( tnf ) receptor superfamily,protein,jnlpba
"ox40-transfected ach-2 cell line , ach-2/ox40",cell_line,jnlpba
"gp34-transfected mouse cell line , sv-t2/gp34",cell_line,jnlpba
neutralizing monoclonal antibody 5a8,protein,jnlpba
tnf-beta,protein,jnlpba
ach-2/ox40 cells,cell_line,jnlpba
p50 and p65 subunits,protein,jnlpba
cxcr4-using t-cell-line-tropic,cell_line,jnlpba
gp34 ( + ) human t-cell,cell_type,jnlpba
sv-t2/gp34 cells,cell_line,jnlpba
5a8,protein,jnlpba
human monocytes/macrophage thp-1 cells,cell_type,jnlpba
